cohort,year,level,side,school,n_girls,pre_math,pre_fr,post_math,post_fr,cfepd,n_pre,n_post,n_eoy_valid,n_dropout,n_passed,n_repeated,n_cfm,taux_abandon,taux_reussite,n_eligible,n_enrolled_sec,n_not_trans,n_college_missing,taux_inscription
C4,2022,CM1,Ctrl,Bassaraoua,51.0,11.646341463414634,8.268292682926829,13.511627906976743,13.680232558139535,,41.0,43.0,51.0,2.0,23.0,26.0,0.0,3.9215686274509802,45.09803921568628,,,,,
C4,2022,CM1,Ctrl,Dallia,24.0,12.43421052631579,12.0,,,,19.0,0.0,24.0,0.0,23.0,1.0,0.0,0.0,95.83333333333333,,,,,
C4,2022,CM1,Ctrl,Dan Kari,18.0,8.088235294117647,9.176470588235293,10.5,9.15625,,17.0,16.0,18.0,0.0,12.0,6.0,0.0,0.0,66.66666666666667,,,,,
C4,2022,CM1,Ctrl,Djirataoua Bilingue,32.0,12.328125,11.3515625,12.53225806451613,13.629032258064516,,32.0,31.0,32.0,0.0,27.0,5.0,0.0,0.0,84.375,,,,,
C4,2022,CM1,Ctrl,Gade,23.0,1.8055555555555556,2.6944444444444446,5.71875,4.546875,,18.0,16.0,23.0,0.0,23.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Galadantchi,40.0,6.277777777777778,4.013888888888889,7.30625,7.301282051282051,,36.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Garin Bormo,20.0,14.4625,14.5625,17.0,19.4125,,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Garin Daoure 1,12.0,14.291666666666666,15.125,14.416666666666666,14.916666666666666,,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Garin Daoure 2,11.0,14.45,14.125,12.590909090909092,13.75,,10.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Garin Magaji,21.0,6.25,6.238095238095238,8.45,8.225,,21.0,20.0,21.0,0.0,21.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Garin Malam Hamza,18.0,5.6911764705882355,4.220588235294118,7.916666666666667,5.986111111111111,,17.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Guigamaoua Sofoua,20.0,10.7,5.625,11.960526315789474,7.565789473684211,,20.0,19.0,20.0,0.0,20.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Imbelbelou 3,48.0,11.345238095238095,14.589285714285714,,,,42.0,0.0,48.0,0.0,43.0,5.0,0.0,0.0,89.58333333333333,,,,,
C4,2022,CM1,Ctrl,Kagara,26.0,8.73076923076923,6.461538461538462,14.307692307692308,13.913461538461538,,26.0,26.0,26.0,0.0,26.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Kankaran Safo,26.0,11.59,11.14,13.423076923076923,12.365384615384615,,25.0,26.0,26.0,0.0,26.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Kara Kara 2,49.0,10.266666666666667,8.233333333333333,,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Ctrl,Kara Kara 3,37.0,10.68918918918919,11.783783783783784,13.01388888888889,12.465277777777779,,37.0,36.0,37.0,0.0,33.0,4.0,0.0,0.0,89.1891891891892,,,,,
C4,2022,CM1,Ctrl,Kontagora Sofoua,32.0,9.545454545454545,8.397727272727273,7.375,10.787037037037036,,22.0,32.0,32.0,2.0,17.0,13.0,0.0,6.25,53.125,,,,,
C4,2022,CM1,Ctrl,Maisso,20.0,5.5,3.9625,6.428571428571429,4.214285714285714,,20.0,14.0,20.0,0.0,20.0,0.0,0.0,0.0,100.0,,,,,
