cohort,year,level,side,schools,girls,abandon,reussite,inscription,pre_scores,post_scores,cfepd
C4,2022,CM1,Ctrl,31,846.0,27,27,0,31,28,0
C4,2022,CM1,Int,34,993.0,32,32,0,33,34,0
C4,2022,CM2,Ctrl,32,994.0,31,31,31,32,32,32
C4,2022,CM2,Int,32,991.0,32,32,31,31,32,32
C5,2023,CM1,Ctrl,35,734.0,35,35,0,34,35,0
C5,2023,CM1,Int,36,919.0,36,36,0,35,36,0
C5,2023,CM2,Ctrl,3,56.0,3,3,3,3,3,3
C5,2023,CM2,Int,3,76.0,3,3,3,3,3,3
C6,2024,CM1,Ctrl,24,667.0,24,24,0,0,0,0
C6,2024,CM1,Int,30,738.0,30,30,0,14,14,0
C6,2024,CM2,Ctrl,31,879.0,31,31,0,0,0,0
C6,2024,CM2,Int,36,818.0,34,34,0,34,34,0
C7,2025,CM1,Ctrl,51,1058.0,51,0,0,50,51,0
C7,2025,CM1,Int,51,1287.0,51,0,0,51,51,0
C7,2025,CM2,Ctrl,23,586.0,23,23,22,21,23,23
C7,2025,CM2,Int,22,718.0,22,22,21,22,22,22
C8,2026,CM1,Ctrl,39,987.0,0,0,0,39,17,0
C8,2026,CM1,Int,42,994.0,0,0,0,42,42,0
C8,2026,CM2,Ctrl,53,1356.0,0,0,0,0,48,0
C8,2026,CM2,Int,52,1506.0,0,0,0,52,52,0
