pair_id,int_school,ctrl_school
C5-01,Takalmaoua 1,Kontagora Sofoua
C5-02,Sabon Gari Kolta,Dallia
C5-03,Danja 1,Djirataoua Bilingue
C5-04,Danja 2,Bassaraoua
C5-05,El Kokia,Galadantchi
C5-06,Koderaoua,Oumarou Laouali Gago
C5-07,Soura Sarkin Galma 2,Soura Saraki
C5-08,Soura Sarkin Galma 1,Imbelbelou 3
C5-09,Katare 1,Kara Kara 3
C5-10,Katare 2,Kara Kara 1
C5-11,Soura 1,Maza Tsaye 2
C5-12,Soura 2,Garin Magaji
C5-13,Soura 3,Yan Zango
C5-14,Garin Yari Idi,Maza Tsaye 1
C5-15,Soura Magaji Rogo,Maisso
C5-16,Tibiri Nord 3,Garin Daoure 1
C5-17,Waraou,Garin Daoure 2
C5-18,Kalgon Waraou,Soumarana
C5-19,Dan Fillo 3,Kara Kara 2
C5-20,Safo Dan Ali,Safo Chadaoua
C5-21,Safo Nassaraoua,Radi Centre 2
C5-22,Tchikadji Centre,Radi Centre 1
C5-23,Maradou Centre,Radi Quartier
C5-24,Louloubi,Karambi Saboua
C5-25,Sae Saboua,Mallamai Salifou
C5-26,Mallamai Saboua,Yan Doto Garin Malam
C5-27,Barouana,Dan Gara
C5-28,Kadata,Karhin Hali
C5-29,Tagaza,Yan Doto Bala
C5-30,Oubandawaki Alfacha,Karambi Sofoua
C5-31,Mountarou Barmo,Alssaoua
C5-32,Kountarou Mairairai,Touzza
C5-33,Dan Gamji,Dan Bako
C5-34,Kadigaoua,Tsanna Publique
