cohort,level,role,dest,original_name,hash,src_path,sheet_counts,note,master_doc_candidate
Cohort4,CM1,sources,"Cohort4\CM1\sources\MD edits 2021-2022_Primaire Base de donnees Intervention, Controle_2022 (1) (version 1).xlsx","MD edits 2021-2022_Primaire Base de donnees Intervention, Controle_2022 (1) (version 1).xlsx",e9c7aabe0c,"C:\Users\me\Downloads\Marcus Final RCT Data Updates\Marcus Final RCT Data Updates\2021-2022\MD edits 2021-2022_Primaire Base de donnees Intervention, Controle_2022 (1) (version 1).xlsx",Explication des identifiants:3; 1. Base de donnée Intervention:1004; 2. Base de données Control:855; 3. Matching du primaire:20,Marcus File 3. Int 1005 / Ctrl 856. CANONICAL C4 CM1.,FALSE
Cohort4,CM1,sources,Cohort4\CM1\sources\C4_CM1_Marcus_BaseDeDonnees_IntCtrl.xlsx,"MD edits 2021-2022_Primaire Base de donnees Intervention, Controle_2022 (1) (version 1).xlsx",e9c7aabe0c,"C:\Users\me\Downloads\Marcus Final RCT Data Updates\Marcus Final RCT Data Updates\2021-2022\MD edits 2021-2022_Primaire Base de donnees Intervention, Controle_2022 (1) (version 1).xlsx",Explication des identifiants:3; 1. Base de donnée Intervention:1004; 2. Base de données Control:855; 3. Matching du primaire:20,Marcus File 3. Int 1005 / Ctrl 856. CANONICAL C4 CM1.,TRUE
Cohort4,CM1,sources,Cohort4\CM1\sources\2022-02-22_Primaire Base de donnees Intervention & Controle_2021-2022 (1).xlsx,2022-02-22_Primaire Base de donnees Intervention & Controle_2021-2022 (1).xlsx,a88a92b4bc,C:\Users\me\Downloads\HilinMu_Cohort_4_Data\2022-02-22_Primaire Base de donnees Intervention & Controle_2021-2022 (1).xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1050; Feuil1:37; Feuil2:38; 2. Base de données Control:864; 3. Matching du primaire:20,Non-Marcus raw (Int 1051 / Ctrl 865). Provenance only.,FALSE
Cohort4,CM1,sources,Cohort4\CM1\sources\C4_CM1_raw_Feb2022_provenance.xlsx,2022-02-22_Primaire Base de donnees Intervention & Controle_2021-2022 (1).xlsx,a88a92b4bc,C:\Users\me\Downloads\HilinMu_Cohort_4_Data\2022-02-22_Primaire Base de donnees Intervention & Controle_2021-2022 (1).xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1050; Feuil1:37; Feuil2:38; 2. Base de données Control:864; 3. Matching du primaire:20,Non-Marcus raw (Int 1051 / Ctrl 865). Provenance only.,FALSE
Cohort4,CM2,sources,Cohort4\CM2\sources\MD Edits 2021-2022 Hilin Mu CM2 Base de donnees after cleaning 2021-2022 C4  .xlsx,MD Edits 2021-2022 Hilin Mu CM2 Base de donnees after cleaning 2021-2022 C4  .xlsx,a83703d828,C:\Users\me\Downloads\Marcus Final RCT Data Updates\Marcus Final RCT Data Updates\2021-2022\MD Edits 2021-2022 Hilin Mu CM2 Base de donnees after cleaning 2021-2022 C4  .xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1001; 2. Base de données Control:854; Kara kara 2:55; Riadi Centre 2:29; Imbelbelou 3:53; Dallia:29,Marcus File 2. CANONICAL C4 CM2 (Kara Kara 2 / Riadi Centre 2 / Imbelbelou 3 / Dallia).,FALSE
Cohort4,CM2,sources,Cohort4\CM2\sources\C4_CM2_Marcus_AllComplete_4ExtraSchools.xlsx,MD Edits 2021-2022 Hilin Mu CM2 Base de donnees after cleaning 2021-2022 C4  .xlsx,a83703d828,C:\Users\me\Downloads\Marcus Final RCT Data Updates\Marcus Final RCT Data Updates\2021-2022\MD Edits 2021-2022 Hilin Mu CM2 Base de donnees after cleaning 2021-2022 C4  .xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1001; 2. Base de données Control:854; Kara kara 2:55; Riadi Centre 2:29; Imbelbelou 3:53; Dallia:29,Marcus File 2. CANONICAL C4 CM2 (Kara Kara 2 / Riadi Centre 2 / Imbelbelou 3 / Dallia).,TRUE
Cohort4,CM2,sources,Cohort4\CM2\sources\HilinMu_C4_CM2_All_AlmostComplete.xlsx,HilinMu_C4_CM2_All_AlmostComplete.xlsx,d38969cc5b,C:\Users\me\Downloads\HilinMu_Cohort_4_Data\HilinMu_C4_CM2_Data_SourceFiles\HilinMu_C4_CM2_All_AlmostComplete.xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1001; 2. Base de données Control:853,Your earlier pick. Missing the 4 extra control-school sheets. Provenance only.,FALSE
Cohort4,CM2,sources,Cohort4\CM2\sources\C4_CM2_AlmostComplete_NO_extra_schools_provenance.xlsx,HilinMu_C4_CM2_All_AlmostComplete.xlsx,d38969cc5b,C:\Users\me\Downloads\HilinMu_Cohort_4_Data\HilinMu_C4_CM2_Data_SourceFiles\HilinMu_C4_CM2_All_AlmostComplete.xlsx,Explication des identifiants:3; 1. Base de donnée Intervention:1001; 2. Base de données Control:853,Your earlier pick. Missing the 4 extra control-school sheets. Provenance only.,FALSE
Cohort4,CM2,built,Cohort4\CM2\built\HilinMu_C4_CM2_Merged_Database.xlsx,HilinMu_C4_CM2_Merged_Database.xlsx,e977cae74f,C:\Users\me\Downloads\HilinMu_Cohort_4_Data\HilinMu_C4_CM2_Merged_Database.xlsx,Intervention Database:1000; Control Database:851; Data Sources & Notes:15,Built artifact (Int 1000 / Ctrl 851).,FALSE
Cohort4,-,built,Cohort4\built\Cohort4_SubMaster.xlsx,Cohort4_SubMaster.xlsx,76a79e3ed6,C:\Users\me\Downloads\Cohort4_SubMaster.xlsx,Cohort 4 Paired Summary:32; Intervention Schools:32; Control Schools:32; Data Sources & Notes:24,Built C4 paired sub-master.,FALSE
Cohort5,CM1,sources,Cohort5\CM1\sources\C6_CM2_PairMatching.xlsx,C6_CM2_PairMatching.xlsx,f7eb9ca82d,C:\Users\me\Desktop\HilinMu_Cohort_6_Data\HilinMu_C6_CM2_Data_SourceFiles\C6_CM2_PairMatching.xlsx,Matching 2023:37; Base de donnée intervention:927; Base de donnée controle :742,Full C5 CM1 DB (931 int / 743 ctrl) + Matching 2023. Matching tab also feeds C6 (see PROXY).,FALSE
